time1sec,countTime,totalDistance
202400,5040,1.0210830379540061
202401,5041,2.0437389105199637
202402,5042,3.0696014217780005
202403,5043,4.095497425359605
202404,5044,5.119257189867207
202405,5045,6.142994644830319
202406,5046,7.166731851971605
202407,5047,8.19046907134048
202408,5048,9.213137994494026
202409,5049,10.23851144647293
202410,5050,11.263908838359537
202411,5051,12.289306446336944
202412,5052,13.312893578665193
202413,5053,14.336464693412008
202414,5054,15.360035658014867
202415,5055,16.383606621288685
202416,5056,17.408988062112684
202417,5057,18.433480281753972
202418,5058,19.45796463020053
202419,5059,20.4499500516836
202420,5060,21.441699374560297
202421,5061,22.42800165168764
202422,5062,23.414066650554243
202423,5063,24.39703706189353
202424,5064,25.379389069099997
202425,5065,26.35801646493321
202426,5066,27.33246591214272
202427,5067,28.306101213919426
202428,5068,29.27489004702158
202429,5069,30.243641059243608
202430,5070,31.21027091676164
202431,5071,32.17689777271386
202432,5072,33.14329187057539
202433,5073,34.10663628682955
202434,5074,35.06750383986655
202435,5075,36.02793535761641
202436,5076,36.986305085742465
202437,5077,37.93977472113662
202438,5078,38.89038055142576
202439,5079,39.83486107075893
202440,5080,40.77847840096708
202441,5081,41.71666938912466
202442,5082,42.65203546128932
202443,5083,43.58447316205942
202444,5084,44.51393237322887
202445,5085,45.44167329971344
202446,5086,46.3658395399436
202447,5087,47.28698857181879
202448,5088,48.20439989324443
202449,5089,49.119135879221325
202450,5090,50.03312607184982
202451,5091,50.946453058916475
202452,5092,51.857605567869
202453,5093,52.76863624350137
202454,5094,53.67756884151759
202455,5095,54.585769882568854
202456,5096,55.49138602326175
202457,5097,56.39578742163626
202458,5098,57.298761034802645
202459,5099,58.19739792076719
202500,5100,59.09529167005636
202501,5101,59.991472818956815
202502,5102,60.885462968581194
202503,5103,61.77944767144458
202504,5104,62.67306774693005
202505,5105,63.56592823578604
202506,5106,64.45658489413377
202507,5107,65.3434488966527
202508,5108,66.22935613625673
202509,5109,67.11434945346643
202510,5110,67.99796270883674
202511,5111,68.88063609231243
202512,5112,69.76008267645307
202513,5113,70.63491895016003
202514,5114,71.50975023707865
202515,5115,72.38458143226885
202516,5116,73.25940216579903
202517,5117,74.13306184145902
202518,5118,75.00418703640071
202519,5119,75.87390397459724
202520,5120,76.7419456352309
202521,5121,77.60890823561279
202522,5122,78.47493774922324
202523,5123,79.33858722723912
202524,5124,80.20208346171734
202525,5125,81.06215425162819
202526,5126,81.92062137208946
202527,5127,82.7771140602242
202528,5128,83.63248156197055
202529,5129,84.49707947227769
202530,5130,85.37389393426454
202531,5131,86.26269918175878
202532,5132,86.26269918175878
202533,5133,86.26269918175878
202534,5134,86.26269918175878
202535,5135,86.26269918175878
202536,5136,86.26269918175878
202537,5137,86.26269918175878
202538,5138,86.26269918175878
202539,5139,86.26269918175878
202540,5140,86.26269918175878
202541,5141,86.26269918175878
202542,5142,87.24986009117276
202543,5143,88.24350305534111
202544,5144,89.24610484498935
202545,5145,90.25240488133412
202546,5146,91.2615411918691
202547,5147,91.2615411918691
202548,5148,92.26631852633234
202549,5149,93.27776227198105
202550,5150,94.28822337182949
202551,5151,95.30043139785252
202552,5152,96.31284738461238
202553,5153,96.31284738461238
202554,5154,97.15711132253755
202555,5155,97.93249621007394
202556,5156,98.9401643379622
202557,5157,99.94702581196887
202558,5158,100.95402051673675
202559,5159,101.95781000510277
202600,5160,102.95885648360743
202601,5161,103.9644963099557
202602,5162,104.97149119282066
202603,5163,105.97917591827284
202604,5164,106.98770632701614
202605,5165,107.99684829418355
202606,5166,109.00658100117984
202607,5167,110.01690253976483
202608,5168,111.02723625049492
202609,5169,112.03813074987556
202610,5170,113.04912087666716
202611,5171,114.06066239136673
202612,5172,115.07217640419815
202613,5173,116.08403487023213
202614,5174,117.09609911256436
202615,5175,118.10813763522883
202616,5176,119.1205388582937
202617,5177,120.1331398662095
202618,5178,121.14621425682391
202619,5179,122.15927213196737
202620,5180,123.17288333457178
202621,5181,124.18660163842402
202622,5182,125.20067285253691
202623,5183,126.2148830682087
202624,5184,127.22964437205648
202625,5185,128.2445356603026
202626,5186,129.25987798884256
202627,5187,130.2755800989055
202628,5188,131.29165388197535
202629,5189,132.30808723819095
202630,5190,133.32473783928543
202631,5191,134.3420375313798
202632,5192,135.3595160676003
202633,5193,136.37747957431597
202634,5194,137.39584585322825
202635,5195,138.41458929026038
202636,5196,139.4337984894265
202637,5197,140.4520107843954
202638,5198,141.46930266859187
202639,5199,142.48597542015776
202640,5200,143.50196783494354
202641,5201,144.5167233743334
202642,5202,145.53113042259838
202643,5203,146.54470110448256
202644,5204,147.55848331001772
202645,5205,148.57247895328277
202646,5206,149.58671621113442
202647,5207,150.6008691502503
202648,5208,151.61521515133023
202649,5209,152.62941614280223
202650,5210,153.6440228439503
202651,5211,154.65863293712434
202652,5212,155.67383193574696
202653,5213,156.68918679994763
202654,5214,157.705061299377
202655,5215,158.72133693726
202656,5216,159.737927964799
202657,5217,160.75487411982377
202658,5218,161.7722126345886
202659,5219,162.79011091963233
202700,5220,163.80827906773933
202701,5221,164.83237637293752
202702,5222,165.85636497075947
202703,5223,166.87967731872305
202704,5224,167.902517081913
202705,5225,168.924528692762
202706,5226,169.946296679404
202707,5227,170.9677475286707
202708,5228,171.98848374034824
202709,5229,173.00887991965257
202710,5230,174.02936374656866
202711,5231,175.04970822590326
202712,5232,176.07002952737938
202713,5233,177.09008574832947
202714,5234,178.10998325489027
202715,5235,179.1300259493435
202716,5236,180.15010409128053
202717,5237,181.17028028734268
202718,5238,182.19022621642628
202719,5239,183.21033679574555
202720,5240,184.23032808903872
202721,5241,185.250137868377
202722,5242,186.26994810765126
202723,5243,187.28965260081014
202724,5244,188.30941334088905
202725,5245,189.3291087307689
202726,5246,190.34867663803465
202727,5247,191.36838337773872
202728,5248,192.3880948855431
202729,5249,193.40770439598603
202730,5250,194.4274580449195
202731,5251,195.44721299014523
202732,5252,196.46714539376393
