time30sec,countTime,inflowStation,gaussianFilter
190000,0,0,1.836931329874994E-4
190030,30,0,3.452423023295989E-4
190100,60,0,6.299886608595642E-4
190130,90,0,0.0011163211609305993
190200,120,0,0.0019211942195080794
190230,150,0,0.003211930142344687
190300,180,0,0.005217601458164241
190330,210,0,0.008237486222774268
190400,240,0,0.012643282691952936
190430,270,0,0.018871394085928948
190500,300,0,0.027401997083498227
190530,330,0,0.03872305583672517
190600,360,0,0.05327998456824999
190630,390,0,0.07141500999145768
190700,420,0,0.09330378620172015
190730,450,0,0.1188995439078319
190800,480,0,0.14789604752442376
190830,510,0,0.17971919906659625
190900,540,0,0.21355315280367226
190930,570,0,0.24840090514891336
191000,600,1,0.2831727687176448
191030,630,0,0.3167905275215743
191100,660,1,0.3482918567845666
191130,690,0,0.376919619731074
191200,720,1,0.4021838776104728
191230,750,0,0.42388994882336495
191300,780,1,0.442132152067909
191330,810,0,0.45725842263156535
191400,840,1,0.4698146602072089
191430,870,0,0.48047899554834317
191500,900,0,0.4899953860154912
191530,930,2,0.4991137579467995
191600,960,0,0.5085411210746879
191630,990,0,0.5189053474769947
191700,1020,0,0.5307310281075012
191730,1050,1,0.5444251738835907
191800,1080,1,0.5602696168833424
191830,1110,0,0.5784169065477444
191900,1140,1,0.5988873890512897
191930,1170,0,0.6215669549779854
192000,1200,1,0.646207280565021
192030,1230,0,0.6724325555310977
192100,1260,2,0.6997577677647089
192130,1290,0,0.7276228125649898
192200,1320,0,0.755443734736236
192230,1350,1,0.7826777846624846
192300,1380,1,0.8088939048917771
192330,1410,2,0.8338363962288136
192400,1440,0,0.8574683378198482
192430,1470,2,0.8799836686131617
192500,1500,0,0.9017824768541292
192530,1530,1,0.9234117687321309
192600,1560,0,0.9454818676780988
192630,1590,2,0.9685745063444094
192700,1620,1,0.9931608520562758
192730,1650,1,1.019545242792103
192800,1680,1,1.0478435782411244
192830,1710,0,1.0779956731816502
192900,1740,1,1.1098010797979296
192930,1770,1,1.1429610343830778
193000,1800,2,1.1771079060574012
193030,1830,3,1.2118088876430766
193100,1860,0,1.2465414450421015
193130,1890,2,1.2806507654563273
193200,1920,0,1.3133094629919484
193230,1950,0,1.3435030571869386
193300,1980,0,1.370059577626132
193330,2010,6,1.3917297353474756
193400,2040,0,1.4073099153494733
193430,2070,0,1.415789188336572
193500,2100,6,1.4164975204137056
193530,2130,0,1.4092359860390946
193600,2160,0,1.3943781356014782
193630,2190,0,1.3729397737480664
193700,2220,4,1.3466178015676733
193730,2250,0,1.3177957853994402
193800,2280,0,1.2895065420670038
193830,2310,6,1.2653350172370148
193900,2340,0,1.2492432642700684
193930,2370,0,1.245306546192921
194000,2400,0,1.2573651171371867
194030,2430,1,1.288616405906579
194100,2460,0,1.3411917191368388
194130,2490,0,1.4157751817725663
194200,2520,4,1.5113273364488442
194230,2550,0,1.6249708091242672
194300,2580,0,1.7520814622908252
194330,2610,0,1.8866067428700597
194400,2640,7,2.021604653983715
194430,2670,0,2.149963409983002
194500,2700,0,2.2652262855489047
194530,2730,7,2.3624138664150887
194600,2760,0,2.4387148120817588
194630,2790,9,2.493915236262898
194700,2820,0,2.530462660858121
194730,2850,5,2.553114383501558
194800,2880,4,2.568195246817009
194830,2910,0,2.5825715430297866
194900,2940,2,2.6025165670158463
194930,2970,0,2.6326799957430937
195000,3000,0,2.6753650570967253
195030,3030,0,2.7302625054497676
195100,3060,8,2.7946991985822565
195130,3090,0,2.864351960614537
195200,3120,1,2.934279347302145
195230,3150,14,3.00005771094386
195300,3180,0,3.0587884428608767
195330,3210,0,3.109773955497506
195400,3240,0,3.1547327310416016
195430,3270,14,3.1975213755533685
195500,3300,1,3.2434320940156374
195530,3330,0,3.298215683807146
195600,3360,3,3.3670264500758784
195630,3390,0,3.453488430402816
195700,3420,0,3.5590442957520723
195730,3450,0,3.6826810373375274
195800,3480,14,3.8210479936263675
195830,3510,4,3.968912015181551
195900,3540,0,4.119846568444319
195930,3570,7,4.267033320932937
200000,3600,5,4.404064096631655
200030,3630,0,4.525658613809718
200100,3660,1,4.628246260570998
200130,3690,16,4.710386435693828
200200,3720,11,4.773014302062701
200230,3750,0,4.819496228944486
200300,3780,0,4.855467442530906
200330,3810,0,4.888414384214657
200400,3840,7,4.926969124415767
200430,3870,14,4.979913762177497
200500,3900,7,5.05495243180485
200530,3930,0,5.157388942795274
200600,3960,0,5.288928064757451
