1900,0,167
1900.833333,0,173
1901.666667,4,162
1902.5,4,160
1903.333333,2,183
1904.166667,2,153
1905,0,155
1905.833333,6,110
1906.666667,18,9
1907.5,6,20
1908.333333,4,15
1909.166667,0,2
1910,8,2
1910.833333,24,7
1911.666667,5,32
1912.5,1,103
1913.333333,2,114
1914.166667,3,100
1915,2,113
1915.833333,0,142
1916.666667,2,133
1917.5,6,140
1918.333333,5,143
1919.166667,6,127
1920,2,112
1920.833333,6,94
1921.666667,8,134
1922.5,0,117
1923.333333,2,135
1924.166667,2,136
1925,2,180
1925.833333,3,213
1926.666667,0,223
1927.5,0,191
1928.333333,5,215
1929.166667,9,199
1930,3,201
1930.833333,0,187
1931.666667,2,149
1932.5,2,141
1933.333333,5,160
1934.166667,2,140
1935,8,84
1935.833333,3,22
1936.666667,4,35
1937.5,1,59
1938.333333,0,67
1939.166667,1,119
1940,11,144
1940.833333,1,159
1941.666667,6,155
1942.5,20,168
1943.333333,11,171
1944.166667,6,241
1945,3,278
1945.833333,3,186
1946.666667,14,153
1947.5,7,127
1948.333333,9,24
1949.166667,0,5
1950,1,3
1950.833333,1,0
1951.666667,0,6
1952.5,1,3
1953.333333,5,2
1954.166667,6,0
1955,16,2
1955.833333,4,2
1956.666667,3,17
1957.5,5,62
1958.333333,0,77
1959.166667,3,67
1960,2,47
1960.833333,9,11
1961.666667,2,46
1962.5,2,92
1963.333333,2,134
1964.166667,3,135
1965,4,108
1965.833333,10,148
1966.666667,5,125
1967.5,6,147
1968.333333,4,140
1969.166667,15,177
1970,9,164
1970.833333,6,171
1971.666667,14,137
1972.5,5,18
1973.333333,8,9
1974.166667,10,1
1975,4,1
1975.833333,5,4
1976.666667,3,0
1977.5,4,2
1978.333333,0,5
1979.166667,7,15
1980,3,51
1980.833333,7,43
1981.666667,12,36
1982.5,11,4
1983.333333,11,2
1984.166667,2,4
1985,14,42
1985.833333,1,116
1986.666667,6,173
1987.5,0,150
1988.333333,21,141
1989.166667,6,78
1990,11,28
1990.833333,15,19
1991.666667,1,74
1992.5,7,96
1993.333333,14,123
1994.166667,16,90
1995,26,150
1995.833333,13,51
1996.666667,10,15
1997.5,24,30
1998.333333,0,4
1999.166667,2,2.5
2000,4,1
2000.833333,22,5
2001.666667,41,6
2002.5,28,54
2003.333333,24,60
2004.166667,41,83
2005,43,71
2005.833333,56,76
2006.666667,45,75
2007.5,24,71
2008.333333,42,62
2009.166667,46,64
2010,39,69
2010.833333,42,54
2011.666667,40,27
2012.5,46,44
2013.333333,63,9
2014.166667,72,10
2015,70,24
2015.833333,33,10
2016.666667,60,19
2017.5,62,10
2018.333333,77,4
2019.166667,83,6
2020,64,6
2020.833333,70,8
2021.666667,47,14
2022.5,98,65
2023.333333,29,63
2024.166667,16,71
2025,63,62
2025.833333,114,50
2026.666667,95,24
2027.5,122,14
2028.333333,91,24
2029.166667,91,26
2030,99,50
2030.833333,87,62
2031.666667,90,62
2032.5,49,51
2033.333333,54,29
2034.166667,71,9
2035,85,17
2035.833333,95,15
2036.666667,140,5
2037.5,136,8
2038.333333,104,5
2039.166667,94,5
2040,69,0
2040.833333,93,5
2041.666667,109,2
2042.5,121,3
2043.333333,145,5
2044.166667,148,25
2045,172,56
2045.833333,125,60
2046.666667,102,52
2047.5,83,43
2048.333333,138,42
2049.166667,125,38
2050,133,27
2050.833333,141,20
2051.666667,124,27
2052.5,110,25
2053.333333,105,26
2054.166667,100,31
2055,96,7
2055.833333,171,7
2056.666667,117,1
2057.5,141,6
2058.333333,140,7
2059.166667,157,7
2060,113,9
2060.833333,136,12
2061.666667,154,10
2062.5,173,4
2063.333333,146,16
2064.166667,141,2
2065,122,0
2065.833333,128,6
2066.666667,143,7
2067.5,117,3
2068.333333,150,6
2069.166667,144,27
2070,172,24
2070.833333,197,10
2071.666667,156,27
2072.5,174,6
2073.333333,187,13
2074.166667,172,3
2075,149,12
2075.833333,133,4
2076.666667,154,10
2077.5,148,19
2078.333333,122,4
2079.166667,146,26
2080,201,25
2080.833333,143,14
2081.666667,146,21
2082.5,142,8
2083.333333,140,7
2084.166667,168,4
2085,139,3
2085.833333,27,6
2086.666667,8,11
2087.5,14,15
2088.333333,4,21
2089.166667,5,12
2090,2,9
2090.833333,0,27
2091.666667,6,4
2092.5,3,10
2093.333333,1,2
2094.166667,6,2
2095,91,4
2095.833333,170,11
2096.666667,160,0
2097.5,102,5
2098.333333,0,0
2099.166667,77,0
2100,153,0
2100.833333,142,5
2101.666667,166,2
2102.5,153,4
2103.333333,185,8
2104.166667,192,10
2105,134,8
2105.833333,120,16
2106.666667,125,1
2107.5,156,4
2108.333333,143,14
2109.166667,167,0
2110,176,4
2110.833333,136,0
2111.666667,162,1
2112.5,170,4
2113.333333,165,2
2114.166667,189,3
2115,127,8
2115.833333,142,1
2116.666667,130,4
2117.5,155,3
2118.333333,159,1
2119.166667,131,5
2120,147,3
2120.833333,158,5
2121.666667,57,2
2122.5,3,7
2123.333333,7,6
2124.166667,0,2
2125,2,3
2125.833333,8,0
2126.666667,2,9
2127.5,85,12
2128.333333,151,4
2129.166667,177,4
2130,159,0
2130.833333,150,8
2131.666667,112,2
2132.5,132,0
2133.333333,159,0
2134.166667,172,1
2135,128,1
2135.833333,140,1
2136.666667,169,0
2137.5,162,3
2138.333333,152,0
2139.166667,133,0
2140,144,2
2140.833333,104,3
2141.666667,142,5
2142.5,166,3
2143.333333,155,8
2144.166667,197,8
2145,143,7
2145.833333,92,8
2146.666667,130,4
2147.5,144,10
2148.333333,172,4
2149.166667,168,3
2150,152,6
2150.833333,163,2
2151.666667,147,1
2152.5,144,1
2153.333333,149,3
2154.166667,150,3
2155,123,2
2155.833333,111,0
2156.666667,107,0
2157.5,147,0
2158.333333,159,0
2159.166667,152,1
