time30sec,countTime,inflowStation,inflowStation10
1900,0,6.6,0
1900.833333,30,0,0
1901.666667,60,1.1,0
1902.5,90,2.2,0
1903.333333,120,0,0
1904.166667,150,5.5,1
1905,180,1.1,0
1905.833333,210,2.2,0
1906.666667,240,1.1,0
1907.5,270,4.4,1
1908.333333,300,5.5,0
1909.166667,330,2.2,1
1910,360,5.5,0
1910.833333,390,6.6,1
1911.666667,420,5.5,0
1912.5,450,2.2,1
1913.333333,480,4.4,0
1914.166667,510,6.6,1
1915,540,4.4,0
1915.833333,570,1.1,0
1916.666667,600,5.5,1
1917.5,630,13.2,1
1918.333333,660,3.3,1
1919.166667,690,4.4,0
1920,720,2.2,0
1920.833333,750,3.3,1
1921.666667,780,1.1,0
1922.5,810,2.2,0
1923.333333,840,4.4,0
1924.166667,870,4.4,1
1925,900,7.7,0
1925.833333,930,8.8,1
1926.666667,960,6.6,1
1927.5,990,6.6,1
1928.333333,1020,5.5,0
1929.166667,1050,5.5,1
1930,1080,5.5,0
1930.833333,1110,1.1,0
1931.666667,1140,8.8,1
1932.5,1170,1.1,0
1933.333333,1200,1.1,1
1934.166667,1230,4.4,0
1935,1260,6.6,1
1935.833333,1290,2.2,0
1936.666667,1320,1.1,0
1937.5,1350,2.2,0
1938.333333,1380,5.5,1
1939.166667,1410,4.4,0
1940,1440,5.5,1
1940.833333,1470,3.3,0
1941.666667,1500,1.1,0
1942.5,1530,2.2,0
1943.333333,1560,6.6,1
1944.166667,1590,11,1
1945,1620,2.2,0
1945.833333,1650,4.4,1
1946.666667,1680,1.1,0
1947.5,1710,8.8,1
1948.333333,1740,6.6,0
1949.166667,1770,3.3,1
1950,1800,6.6,0
1950.833333,1830,3.3,1
1951.666667,1860,6.6,0
1952.5,1890,2.2,1
1953.333333,1920,8.8,1
1954.166667,1950,6.6,0
1955,1980,13.2,2
1955.833333,2010,4.4,0
1956.666667,2040,17.6,2
1957.5,2070,5.5,0
1958.333333,2100,6.6,1
1959.166667,2130,0,0
1960,2160,8.8,1
1960.833333,2190,3.3,0
1961.666667,2220,6.6,1
1962.5,2250,1.1,0
1963.333333,2280,5.5,0
1964.166667,2310,7.7,1
1965,2340,12.1,1
1965.833333,2370,6.6,1
1966.666667,2400,3.3,0
1967.5,2430,5.5,1
1968.333333,2460,5.5,1
1969.166667,2490,3.3,0
1970,2520,2.2,0
1970.833333,2550,3.3,0
1971.666667,2580,1.1,1
1972.5,2610,6.6,0
1973.333333,2640,4.4,1
1974.166667,2670,2.2,0
1975,2700,3.3,0
1975.833333,2730,9.9,1
1976.666667,2760,7.7,1
1977.5,2790,4.4,0
1978.333333,2820,4.4,1
1979.166667,2850,4.4,0
1980,2880,4.4,1
1980.833333,2910,2.2,0
1981.666667,2940,1.1,0
1982.5,2970,16.5,2
1983.333333,3000,7.7,0
1984.166667,3030,2.2,1
1985,3060,1.1,0
1985.833333,3090,2.2,0
1986.666667,3120,3.3,0
1987.5,3150,14.3,2
1988.333333,3180,8.8,1
1989.166667,3210,3.3,0
1990,3240,13.2,1
1990.833333,3270,7.7,1
1991.666667,3300,5.5,1
1992.5,3330,6.6,0
1993.333333,3360,16.5,2
1994.166667,3390,4.4,0
1995,3420,6.6,1
1995.833333,3450,11,1
1996.666667,3480,9.9,1
1997.5,3510,11,1
1998.333333,3540,0,0
